gram,counts
covid 19,1467434
coronavirus covid19,128072
coronavirus pandemic,104238
coronavirus outbreak,82518
covid19 coronavirus,81888
stay home,75863
corona virus,70875
due coronavirus,68169
social distancing,63277
coronavirus cases,60298
coronavirus covid,57767
positive coronavirus,56796
via youtube,55451
coronavirus crisis,52285
amid coronavirus,52253
new york,50429
19 pandemic,45782
gon na,43373
tested positive,42973
stay safe,41986
coronavirus via,41210
spread coronavirus,39418
fight coronavirus,37254
tests positive,34735
casos coronavirus,34303
href rel,33952
rel nofollow,33951
true href,33199
du coronavirus,32828
sign petition,32201
new cases,31089
nofollow twitter,29322
petition via,28637
donald trump,28274
public health,27614
new coronavirus,27360
19 cases,27178
novel coronavirus,26820
19 outbreak,26524
crisis coronavirus,26287
confirmed cases,26160
covidー19 coronavirus,25665
boris johnson,25415
coronavirus response,25316
due covid,24889
coronavirus covid_19,24643
white house,24494
coronavirus covidー19,23312
death toll,23043
president trump,22967
cases coronavirus,22812
wash hands,22622
chinese virus,22591
news coronavirus,22515
united states,22273
get coronavirus,21850
19 coronavirus,21842
pandemia coronavirus,21775
coronavirus lockdown,21734
toilet paper,21721
covid_19 coronavirus,21302
fake news,20968
gt gt,20793
health care,20654
bbc news,20256
covid19 pandemic,19743
year old,19743
positive covid,19568
many people,19526
19 crisis,19286
coronavirus test,18896
trump coronavirus,18719
twitter web,18719
coronavirus testing,18531
response coronavirus,18477
il coronavirus,18383
looks like,17960
fight covid19,17917
coronavirus covid2019,17495
casos confirmados,17292
coronavirus vía,17237
coronavirus spread,17161
coronavirus update,16877
19 virus,16582
social media,16536
prime minister,16507
coronavirus relief,16419
positivo coronavirus,16273
coronavirus patients,16265
web app,16158
coronavirus bill,15889
around world,15682
friends family,15508
good news,15436
test positive,15395
spread covid19,15281
virus covid,15174
qu il,15174
spread covid,15171
south korea,15109
take care,15022
cari amici,14936
fox news,14935
amici siamo,14883
voi covid19,14880
covid19 westandwithitaly,14859
siamo voi,14809
self isolation,14802
help us,14773
stop spread,14678
est pas,14637
coronavirus stimulus,14629
coronavirus death,14542
trying times,14529
due covid19,14136
make sure,14132
test kits,14128
live updates,14090
19 via,14066
wan na,13998
coronavirus deaths,13944
amid covid,13783
janta curfew,13440
us coronavirus,13398
het coronavirus,13382
covid2019 coronavirus,13373
coronavirus coronavirus,13342
get tested,13326
nuevos casos,13125
task force,13113
coronavirus vaccine,13079
save lives,12985
friends colleagues,12897
colleagues friends,12758
italian friends,12707
times share,12641
family cari,12601
work home,12599
share support,12582
stand italy,12568
two weeks,12549
italy trying,12540
au coronavirus,12515
support italian,12511
covidー19 covid19,12480
caso coronavirus,12429
covid19 cases,12285
fight covid,12258
coronavirus live,12050
100 000,12042
cases covid,12024
corona coronavirus,12005
last week,11972
via ukchange,11961
via change,11925
like coronavirus,11915
sars cov,11780
03 2020,11518
first coronavirus,11513
coronavirus quarantine,11452
healthcare workers,11396
american people,11386
self isolate,11379
coronavirus si,11251
coronavirus fears,11248
china coronavirus,11240
self quarantine,11228
hand sanitizer,11165
coronavirus disease,11143
cuarentena coronavirus,11101
every day,11029
mental health,10993
trump administration,10987
york times,10983
working home,10926
24 hours,10836
got ta,10700
19 patients,10681
time coronavirus,10669
god bless,10660
tiempos coronavirus,10649
covid19 covid_19,10633
people people,10628
prevent spread,10625
people die,10558
โคว ด19,10513
response covid,10358
people need,10337
slow spread,10330
coronavirus china,10327
coronavirus il,10316
death rate,10312
casos covid,10147
covid19 covidー19,10136
staying home,10115
people coronavirus,10049
covid2019 covid19,10046
stimulus package,10029
coronavirus coronavirusoutbreak,10020
si coronavirus,9995
loved ones,9986
10 000,9958
people dying,9933
press conference,9884
primer caso,9883
would like,9864
feel like,9802
coronavirus could,9740
nhs staff,9721
need know,9719
19 test,9705
go back,9695
coronavirus us,9648
em casa,9645
breaking news,9632
the coronavirus,9616
march 2020,9574
let us,9570
cure coronavirus,9558
please stay,9533
weeks ago,9511
covid19 crisis,9462
el coronavirus,9393
one day,9359
il est,9334
corona covid19,9309
look like,9284
coronavirus puede,9245
coronavirus concerns,9132
world health,9123
coronavirus va,9119
via gatewaypundit,9110
coronavirus news,9096
immune system,9089
die coronavirus,9081
self employed,9070
il faut,9042
wuhan coronavirus,9032
covid_19 covid19,9021
coronavirus corona,9010
relief bill,9006
19 update,8978
19 response,8947
contre coronavirus,8934
stock market,8927
well done,8923
first time,8895
19 di,8865
people died,8860
case coronavirus,8857
non essential,8850
infected coronavirus,8842
last night,8820
herd immunity,8812
com coronavirus,8796
combat coronavirus,8782
14 days,8774
next week,8767
twitter android,8766
global pandemic,8718
small businesses,8713
coronavirus trump,8705
coronavirus case,8701
washington post,8687
need help,8662
got coronavirus,8556
tested coronavirus,8515
000 people,8455
dr fauci,8417
doctors nurses,8415
mortality rate,8415
self isolating,8364
stop coronavirus,8353
please help,8347
days ago,8305
please read,8279
covid19 outbreak,8278
virus corona,8237
prince charles,8191
positive covid19,8174
joe biden,8157
19 testing,8085
coronavirus symptoms,8063
coronavirus amp,8054
positive cases,8035
covid19 covid2019,8017
please share,7997
high risk,7993
coronavirus task,7963
coronavirus tests,7957
confirmed coronavirus,7946
please take,7941
propagación coronavirus,7929
24 horas,7906
flatten curve,7876
national emergency,7872
ver si,7868
hong kong,7868
federal government,7866
home coronavirus,7794
know coronavirus,7793
fighting coronavirus,7783
trump says,7782
puede ser,7772
emergenza coronavirus,7747
je suis,7745
care workers,7680
whole world,7638
coronavirus est,7619
people like,7602
daily thanks,7584
bill gates,7565
coronavirus new,7554
coronavirus argentina,7528
